_id,medicalcondition,symptoms,severity,tests,price[0],price[1],price[2]
65cccc8816085881d7612b65,Abdominal aortic aneurysm,"Abdominal pain, Back pain, Pulsating sensation in the abdomen",7,"Ultrasound, CT scan, MRI",4500,5500,5000
65cccc8816085881d7612b66,Acne,"Pimples, Blackheads, Whiteheads, Redness, Inflammation",4,Physical examination,1500,,
65cccc8816085881d7612b67,Acute cholecystitis,"Abdominal pain (especially in the upper right side), Fever, Nausea, Vomiting, Jaundice",8,"Ultrasound, CT scan, Blood tests",2500,3500,3000
65cccc8816085881d7612b68,Acute lymphoblastic leukaemia,"Fatigue, Weakness, Fever, Easy bruising, Bleeding, Bone pain, Joint pain",9,"Blood tests, Bone marrow biopsy, Lumbar puncture",1500,3000,2500
65cccc8816085881d7612b69,Acute lymphoblastic leukaemia: Children,Same as Acute lymphoblastic leukaemia,9,Same as Acute lymphoblastic leukaemia,1500,3000,2500
65cccc8816085881d7612b6a,Acute lymphoblastic leukaemia: Teenagers and young adults,Same as Acute lymphoblastic leukaemia,9,Same as Acute lymphoblastic leukaemia,1500,3000,2500
65cccc8816085881d7612b6b,Acute myeloid leukaemia,"Fever, Weakness, Fatigue, Pale skin, Shortness of breath, Easy bruising, Bleeding, Bone pain",9,"Blood tests, Bone marrow biopsy, Lumbar puncture",2000,3500,3000
65cccc8816085881d7612b6c,Acute myeloid leukaemia: Children,Same as Acute myeloid leukaemia,9,Same as Acute myeloid leukaemia,2000,3500,3000
65cccc8816085881d7612b6d,Acute myeloid leukaemia: Teenagers and young adults,Same as Acute myeloid leukaemia,9,Same as Acute myeloid leukaemia,2000,3500,3000
65cccc8816085881d7612b6e,Acute pancreatitis,"Abdominal pain, Nausea, Vomiting, Fever, Rapid pulse, Swollen abdomen",8,"Blood tests, Imaging tests (CT scan, MRI, Ultrasound), Pancreatic function tests",3000,4000,3500
65cccc8816085881d7612b6f,Adenomyosis,"Heavy menstrual bleeding, Menstrual periods lasting longer than usual, Pelvic pain, Painful periods, Pain during intercourse",6,"Pelvic ultrasound, MRI, Hysteroscopy",3500,4500,4000
65cccc8816085881d7612b70,Addison’s disease,"Fatigue, Weight loss, Darkening of the skin, Low blood pressure, Salt craving, Hypoglycemia",7,"Blood tests (ACTH stimulation test, Cortisol level test, ACTH level test), Imaging tests (CT scan, MRI)",4000,5000,4500
65cccc8816085881d7612b71,Alcohol-related liver disease,"Fatigue, Jaundice, Swelling in the legs and abdomen, Confusion, Nausea, Weight loss",8,"Liver function tests, Blood tests (to check for alcohol-related liver damage), Imaging tests (Ultrasound, CT scan, MRI)",2500,3500,3000
65cccc8816085881d7612b72,Allergic rhinitis,"Sneezing, Runny or stuffy nose, Itchy eyes, nose, or throat, Watery eyes, Coughing",5,"Skin prick test, Blood test (Allergen-specific IgE antibodies), Nasal endoscopy",2000,2500,2200
65cccc8816085881d7612b73,Allergies,"Runny or stuffy nose, Sneezing, Itchy eyes, skin, or throat, Hives, Swelling, Anaphylaxis (severe allergic reaction)",5,"Skin prick test, Blood test (Allergen-specific IgE antibodies), Patch test",2000,2500,2200
65cccc8816085881d7612b74,Alzheimer’s disease,"Memory loss, Difficulty performing familiar tasks, Problems with language, Disorientation, Mood swings",9,"Neurological examination, Cognitive tests (Mini-Mental State Examination, Montreal Cognitive Assessment), Brain imaging (MRI, CT scan, PET scan)",3000,4000,3500
65cccc8816085881d7612b75,Anal cancer,"Rectal bleeding, Anal pain, Itching in the anal area, Changes in bowel habits, Lump near the anus",7,"Physical examination, Anal pap smear, Biopsy",3500,4500,4000
65cccc8816085881d7612b76,Anaphylaxis,"Skin rash, Itching, Swelling of the lips, tongue, throat, Shortness of breath, Wheezing, Difficulty swallowing, Rapid heartbeat",9,"Blood tests (to measure tryptase levels, complete blood count), Skin prick test (to identify allergen triggering the reaction)",2500,3500,3000
65cccc8816085881d7612b77,Angina,"Chest pain or discomfort, Pain in your arms, neck, jaw, shoulder or back accompanying chest pain, Nausea, Fatigue, Shortness of breath",8,"Electrocardiogram (ECG), Stress test, Coronary angiography",3000,4000,3500
65cccc8816085881d7612b78,Angioedema,"Swelling of the skin, typically around the eyes and lips, Swelling of the hands, feet, and throat, Abdominal cramping, Breathing difficulty",7,"Blood tests (to check for levels of complement proteins, including C1 esterase inhibitor), Skin prick test (to identify triggering allergens)",3000,4000,3500
65cccc8816085881d7612b79,Ankylosing spondylitis,"Lower back pain and stiffness, Pain and stiffness that worsens with rest or inactivity, Reduced flexibility in the spine, Neck pain and fatigue",8,"Physical examination, X-rays of the spine, Blood tests (to check for HLA-B27 antigen)",3500,4500,4000
65cccc8816085881d7612b7a,Anorexia nervosa,"Extreme weight loss, Thin appearance, Abnormal blood counts, Fatigue, Insomnia, Dizziness, Fainting, Low blood pressure",9,"Physical examination, Blood tests (to check for complete blood count, electrolyte levels, liver function, kidney function), Psychological evaluation",2500,3500,3000
65cccc8816085881d7612b7b,Anxiety,"Feeling nervous, Restlessness, Increased heart rate, Rapid breathing, Sweating, Trembling",6,"Physical examination, Psychological evaluation (questionnaires, interviews), Blood tests (to rule out medical conditions)",2000,2500,2200
65cccc8816085881d7612b7c,Anxiety disorders in children,"Excessive worrying, Avoidance of certain situations, Physical complaints (headaches, stomach aches), Irritability, Difficulty concentrating",6,"Psychological evaluation (questionnaires, interviews), Observation of behavior, Blood tests (to rule out medical conditions)",2000,2500,2200
65cccc8816085881d7612b7d,Appendicitis,"Pain in the abdomen (usually starting near the belly button), Loss of appetite, Nausea, Vomiting, Low-grade fever, Constipation or diarrhea",8,"Physical examination (McBurney's point tenderness test), Blood tests (complete blood count, white blood cell count), Imaging tests (CT scan, ultrasound)",2500,3500,3000
65cccc8816085881d7612b7e,Arterial thrombosis,"Pain or cramping in the affected area, Numbness or weakness in the limbs, Coldness or pallor in the affected area, Changes in skin color, Swelling",7,"Doppler ultrasound, Magnetic resonance angiography (MRA), Computed tomography angiography (CTA)",3000,4000,3500
65cccc8816085881d7612b7f,Arthritis,"Joint pain, Joint swelling, Joint stiffness, Reduced range of motion, Warmth around the joint, Redness of the skin around the joint",7,"Physical examination, Blood tests (C-reactive protein, rheumatoid factor, anti-cyclic citrullinated peptide antibodies), Imaging tests (X-ray, MRI, ultrasound)",3000,4000,3500
65cccc8816085881d7612b80,Asbestosis,"Shortness of breath, Persistent dry cough, Chest tightness or pain, Loss of appetite, Clubbing of fingers (enlarged fingertips), Finger deformity",7,"Chest X-ray, Pulmonary function tests (spirometry, lung volume tests), High-resolution CT scan",3000,4000,3500
65cccc8816085881d7612b81,Asthma,"Shortness of breath, Chest tightness or pain, Wheezing when exhaling, Coughing or wheezing attacks that are worsened by a respiratory virus",6,"Spirometry, Peak flow meter, Allergy testing (skin prick test, blood test), Chest X-ray",2500,3000,2800
65cccc8816085881d7612b82,Atopic eczema,"Dry, scaly skin, Redness, Itching, Inflammation, Oozing or crusting, Areas of swelling",5,"Physical examination, Allergy testing (patch testing, skin prick test), Blood tests (to check for allergies or underlying conditions)",2000,2500,2200
65cccc8816085881d7612b83,Atrial fibrillation,"Palpitations, Irregular heartbeat, Weakness, Fatigue, Shortness of breath, Chest pain, Dizziness",8,"Electrocardiogram (ECG), Holter monitor, Echocardiogram",3000,4000,3500
65cccc8816085881d7612b84,Attention deficit hyperactivity disorder (ADHD),"Inattention, Hyperactivity, Impulsivity, Difficulty organizing tasks, Forgetfulness, Restlessness",6,"Psychological evaluation (questionnaires, interviews), Observation of behavior, Rating scales (Conners scale, Vanderbilt ADHD diagnostic rating scales)",2500,3000,2800
65cccc8816085881d7612b85,Autistic spectrum disorder (ASD),"Social challenges, Communication difficulties, Repetitive behaviors, Sensory sensitivities, Restricted interests",7,"Developmental screening, Comprehensive diagnostic evaluation (Autism Diagnostic Observation Schedule, Autism Diagnostic Interview)",3000,4000,3500
65cccc8816085881d7612b86,Bacterial vaginosis,"Vaginal discharge with a fishy odor, Vaginal itching, Burning sensation during urination",5,"Microscopic examination of vaginal discharge, pH testing",1500,3000,
